,Path,ImageId,Image Size,Voxel Size in mm,Dimension
0,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_4.nrrd,Acosa_Diseased_4.nrrd,"(512, 512, 224)","(0.4882810115999999, 0.4882810115999999, 0.6249999999999999)",3
1,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_17.nrrd,Acosa_Diseased_17.nrrd,"(512, 512, 224)","(0.3945310116, 0.3945310116, 0.625)",3
2,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_5.nrrd,Acosa_Diseased_5.nrrd,"(512, 512, 224)","(0.44531199999999993, 0.44531199999999993, 0.6250000000000001)",3
3,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_1.nrrd,Acosa_Diseased_1.nrrd,"(512, 512, 224)","(0.3867189884, 0.3867189884, 0.625)",3
4,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_7.nrrd,Acosa_Diseased_7.nrrd,"(512, 512, 224)","(0.3945310116, 0.3945310116, 0.625)",3
5,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_9.nrrd,Acosa_Diseased_9.nrrd,"(512, 512, 224)","(0.4648439884, 0.4648439884, 0.625)",3
6,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_15.nrrd,Acosa_Diseased_15.nrrd,"(512, 512, 224)","(0.45898399999999995, 0.45898399999999995, 0.6249999999999999)",3
7,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_3.nrrd,Acosa_Diseased_3.nrrd,"(512, 512, 224)","(0.4414060116, 0.4414060116, 0.625)",3
8,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_14.nrrd,Acosa_Diseased_14.nrrd,"(512, 512, 224)","(0.4284380078, 0.4284380078, 0.625)",3
9,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_13.nrrd,Acosa_Diseased_13.nrrd,"(512, 512, 224)","(0.3945310116, 0.3945310116, 0.625)",3
